,mentah,Sentiment,preprocessing_result
0,Tidak hanya dilakukan di kampus 3 ,0.0,kampus 3
1,"penambahan materi untuk memberikan manfaat yang lebih , terima kasih :)",1.0,materi manfaat terima kasih
2,latihan lagi,0.0,latih
3,Semangat memberikan pelatihan ,1.0,semangat latih
4,Sosialisasi untukl pelatihan ini lebih diperjelas,1.0,sosialisasi untukl latih
5,Mantul,1.0,mantul
6,Pelatihan ini perlu diterapkan kepada mahasiswa baru ,1.0,latih terap mahasiswa
7,Semoga lebih baik,1.0,moga
8,jadwalnya dipebanyak,1.0,jadwal
9,Semoga lebih baik,1.0,moga
10,"terus diadakan pelatihan, terkait informasi pemberitahuan harus jelas.",1.0,latih kait informasi pemberitahuan
11,waktu pelatihannya lebih lama lagi agar peserta dapat lebih menguasai materi pelatihan ,1.0,waktu latih kuasa materi latih
12,"terkait informasi pelatihan lebih ditingkatkan lagi, perbanyak mengadakan pelatihan ",1.0,kait informasi latih tingkat latih
13,lebih diperdalam lagi materi pembahasan nya ,1.0,materi bahas
14,Waktunya kurang banyak,0.0,waktu
15,mantuulll,1.0,mantuulll
16,Mohon agar durasi pelatihan dan skop materi dibuat lebih luas. ,1.0,durasi latih skop materi luas
17,Lebih dekat dan turun tangn lagi antara tutor dengan peserta,1.0,turun tangn tutor
18,Jangan terlalu cepat penyampaiannya,0.0,cepat
19,"Terlalu cepat dalam menyampaikan materi, waktunya perlu ditambahkan sepertinya.",0.0,cepat materi waktu
20,Jangan terlalu cepat,0.0,cepat
21,Jangan terlalu cepat untuk waktunya agar tidak terburu buru & dapat dipahami,0.0,cepat waktu buru buru paham
22,"Sudah bagus, penjelasan yang diberikan mentor juga mudah di terima",1.0,bagus mentor mudah terima
23,Bisa diajalankan lebih baik lagi,1.0,diajalankan
24,ngambil sertifnya jangan bayar,0.0,ngambil sertifnya bayar
25,Good ,1.0,good
26,cek plagiasi gratiskan,1.0,cek plagiasi gratis
27,Kalo menjelaskan tolong lebih pelan-pelan lagi,0.0,kalo tolong pelanpelan
28,perlu menambahkan jumlah asisten agar memperlancar jalannya pelatihan,1.0,asisten lancar jalan latih
29,Lebih detail lagi dalam menjelaskan ,1.0,detail
30,Terapkan terus,1.0,terap
31,Kecepatan Wifi tolong tambah ,0.0,cepat wifi tolong
32,wifi di percepat ,1.0,wifi cepat
33,Jaringan wifi ditingkatkan.,1.0,jaring wifi tingkat
34,Jaringan wi-fi bisa ditingkatkan agar pelatihan dapat berjalan dengan lancar tanpa adanya gangguan jaringan wi-fi,1.0,jaring wifi tingkat latih jalan lancar ganggu jaring wifi
35,pelatihan literasi sebaiknya dilaksanakan pada semester 1 karena akan sangat bermanfaat saat mengerjakan tugas kuliah maupun laporan praktikum,1.0,latih literasi laksana semester 1 manfaat tugas kuliah lapor praktikum
